PHIF,SW,VSH
0.06799084221822076,0.9833868211087982,0.07201228053353095
0.07979296741271855,0.9731940866044564,0.07197159688352028
0.09158765031585556,0.9282269452955266,0.06647905075586313
0.050750779951360944,0.9877011128098078,0.06176649455106609
0.06604697472233365,1.0,0.057418373362521924
0.06604697472233365,1.0,0.06496764477835834
0.06589100461325055,1.0,0.07106487686462032
0.06589100461325055,1.0,0.07874227967241021
0.06589274602328044,1.0,0.08106222699404814
0.06862203822772925,1.0,0.08520927278375728
0.08232434598744098,1.0,0.09158338827350587
0.08966706980974995,0.9934389493085146,0.08602357979374128
0.09220563118630103,0.9491966671163339,0.06928929294508729
0.06280985880150389,1.0,0.058412780426110034
0.06018615225113427,1.0,0.07193253909666708
0.04473220584112825,1.0,0.0888640644680821
0.07778013841175868,0.927216732375935,0.12334068514746854
0.062419265514228967,0.9553755284537073,0.11751060660370537
0.06266460986336063,0.9582090344106465,0.08870406262561181
0.08322334598063869,0.9446156076369248,0.09647674634236236
0.06890525623365176,0.9498362176445274,0.11946722711916177
0.017402458374841667,0.9687248017648393,0.1161383998394719
0.11391174782889937,0.8431152079872245,0.10981154679505821
0.1139692457365293,0.8486480247864815,0.1057283964119332
0.11289861922045766,0.847568112867588,0.10032578539224095
0.07964419940217858,1.0,0.09538782195198187
0.08610798754700383,0.9775868680171884,0.08147137438225788
0.10185699226286855,0.9354326655956401,0.07776419420217798
0.09117892202600794,0.961149488677611,0.07677529301780467
0.03237905754699223,1.0,0.07692094514570857
0.032580882839010325,0.9974858381383982,0.07861582280881435
0.055479250007704664,0.9935794953626995,0.08110948454358757
0.08585906600371986,0.9748444022336374,0.0782494760534731
0.08947426345251083,0.968398689577426,0.10743644716817531
0.06971701295802296,0.9809484786093058,0.12822559834269695
0.07450975848846735,0.9700936117935993,0.13872034787525947
0.07723172268148279,0.9646470234568203,0.13591976175038453
0.07894801896102957,0.9615470256773506,0.13413402033159927
0.07876897963482263,0.9593521894491008,0.14483365328619394
0.08161480284372472,0.9671066685276232,0.13605293595197773
0.078048242282713,0.9618515274307275,0.13242861232598313
0.10271224400590523,0.961954413272085,0.12082346661751833
0.1198558905455818,0.8686286673068355,0.10385225954943522
0.1137040711216517,0.8911747598161249,0.08590749541230508
0.10238183971953543,0.9687895670806341,0.06598652980754832
0.0943058582926811,0.9638675167222676,0.09171964142778177
0.08632163987196853,0.9672407580592517,0.1060485128555545
0.11375142172643173,0.9167333832843353,0.12009578050185787
0.11719312365690965,0.941113708314139,0.11847669912861918
0.10801122207557387,0.9175664975675144,0.142433117921011
0.1003163742234708,0.944247446074441,0.13500551985999454
0.04274178465934661,0.9828631010943407,0.15577349907045476
0.10662625718006458,0.997605125735812,0.13560043668667085
0.10630568622657581,1.0,0.1307345392106863
0.11002472288747984,1.0,0.12723512794386602
0.1428204516606567,0.8312223531574147,0.08977172901400315
0.14783515263494346,0.8012743258833439,0.0512347117134527
0.14619628999480133,0.8031364097703799,0.04792852317667079
0.11420688318628763,0.9658070862224654,0.08114766176282459
0.11550212244845903,0.9646542562359632,0.06766526533822342
0.09740317652166225,1.0,0.06483059960648213
0.07448915091672183,0.9968746934125327,0.06312936920784204
0.04438655043408368,1.0,0.07182412363091253
0.13271703978005553,0.7754616750210251,0.0847107220752687
0.13301666845948407,0.7696223474519646,0.08716893895322542
0.06215615272529153,0.9661337393253249,0.08406876830400961
0.14343299370624163,0.7918765119015102,0.061926666809260594
0.14361059601163373,0.8012305229240297,0.05173526342799534
